;THIS IS FUCKING INSANE;;
;AWESOME!!!;;
;IT'S AMAZING! I HAVE NO WORDS AT ALL! YOU ARE AWESOME GUYS!!!;;
;I’m really impressed your amazing video_;;
;Really no one is going to comment on how sweet those solid color sheet looked?;;
;_ _______ _____ __ _____ _______ _____.;;
;_________ ________;;
;obsession for smoothness;;
;Peck Palitchoke brought me here, wow so awesome;;
;______________________;;
;nece DEAF));;
;Can't wait to see BTS for this;;
;________ ____ ________55555555555555;;
;"_________
I'm always amazed by their idea!";;
;_______!;;
;"___
___#24___(____)";;
;"What a great birthday gift!
This birthday was most definitely one of the greatest birthdays I've ever had, and this just made it even better!";;
;The kind of video only OK Go can make.;;
;"WOW das gleilste was man mit Druckern machen kann :-D !!
Bis denn, dann
 Aprisus";;
;That moment at 3:00 when the papers flip as they fall to show the white side mmmmmmmmm;;
;_____, ___ _ _____;;
;_____, _______ _______ !!!!!!!!!;;
;Someone like HP Printing Solutions should've sponsored this.;;
;"________________
_______________________";;
;"Another way for Double A to destroy the environment and promote their sales. Here sits two major companies; one in Germany, environmentally friendly, bleachless, and low cost, good quality. The other being Double A, timbers countless forests and heavy bleaching to their paper. The latter knows that their revenue isn't so good recently so let's promote a video and brainwash idiots to buy Double A.";;
;__________________ Good song;;
;think before you print;;
;_______________________;;
;____________ _;;
;"We came here, because 'Peck Palitchoke' told us that this MV is so COOL. And it is!!!
This is a great one. Thank you!! ;)";;
;OK Go just won't let us down;;
;I guess we are not going to save the rain forest any time soon ><;;
;What an advert!;;
;_________________;;
;Wow;;
;Well that was incredible;;
;Hueta..;;
;___, ___ _*_____.!;;
;Its like a defragmentation);;
;34fps Sub to my channel and I will sub back;;
;_______ ________;;
;Cool !!!!;;
;What a waste!;;
;_________55;;
;___________________;;
;__OKGO;;
;I hope you recycle.;;
;S.P read the paper at the beginning;;
;It's fck unbelievable!;;
;Watching OK GO videos is always amazing. Thank you for these masterpieces!;;
;Can we know printer brand, I'm looking for one able to print more than 50 papers correctly;;
;_______;;
;_______________________ #peckpalitchoke #peckpalit;;
;_________________;;
;Peckpalit told me to watch this;;
;___________;;
;DOUBLE A !!!;;
;Damn it you guys! You all make me  not want even try  any anymore. You, your people, SOMEONE are very creative and the execution is continiously impressive. Grr. Stop it already...i quit.;;
;1:57_______;;
;music is meh. music video is nice;;
;you guys should have used the paper from this video  to make your album covers.;;
;___OKGO;;
;Jo no se ingles pero la presentasio es brutal;;
;Use Vimeo for better compression of 4k content!;;
;huge waste of paper;;
;__ ____ _______, __ _______);;
;It's so strange, but so exciting;;
;Now THATS an advertisement;;
;Wow...;;
;Crazy and beautiful!;;
;When you get bored in the office;;
;Can you guys stop outdoing yourselves I can only get so erect.;;
;WOW!;;
;You should have sold every sheet of paper for a few dollars, then given that to Green Peace instead :D;;
;akmfvof the waste of paper tho and energy anddd ink congrats though you recycled it;;
;2:42 when you don't catch it but you have to go on;;
;You guys have done it again, how many hours of planning and frustration getting this to work?   Well done chaps :-);;
;Killing the nature with that video;;
;many many papers;;
;"Everything about this is amazing. 
Probably not everything, because I saw a comment talking about epilepsy.
And OK GO responded.";;
;"We need printer *ask with serious face*
Producer : Oh my god, not again ......";;
;________OK Go;;
;1:38 Perfume - Sweet Refrain's dance?;;
;____________;;
;WOW!!!!;;
;amazing;;
;"Damian slipped at 1:19
I'm sooooo glad damian wears the same converse shoes he wore in white knuckles???????";;
;"Creative, original and a bar-raiser for other bands.
Yes, I daresay there's some wastage there, but I'd wager the elderly Russian jet they used in Upside Down... probably used a drop of fuel or two...";;
;printer name?);;
;https://m.youtube.com/watch?v=A6PzYN94DOo;;
;How did they get the printers to print to the edge of the sheet? Or did they just use them as feeders and pretended to print them?;;
;Another gem.  Killing it!!;;
;As someone who works in advertising, my life goal is to brief OK GO on a campaign. Then I can die happy knowing that I've actually been involved in something creative.;;
;_______ ______, ______ _____;;
;"I sing Obsession because I just got a weird one
I like death";;
;my least favorite OK go video yet, seemed wasteful regardless of the intent;;
;"LucidDreams Have you not seen any of their other videos? They waste TONS of stuff for them; I don't think that this is more wasteful than Needing/Getting or This Too Shall Pass (the Rube Goldberg Machine one).";;
;Best ad;;
;I’ve been an avid fan of ok go for so long (I saw the kinetic motion machine vid when I was in 6th grade) and honestly the music videos have managed to stay just as entertaining 5 years or whatever since then.;;
;Beautiful and well designed imagery;;
;...can you even be mindblown anymore? I mean ... I MEAN .... holy xD U guys are amazing;;
;yeah boyyyyyy;;
;WTF IS THIS SHIT M8?;;
;End Love's clip;;
;Well that's a waste of paper;;
;Underwater next time? :);;
;I keeo coming back because im obsessed with this video;;
;"Label: Guys just make a normal video
Band: printers are normal right?
Label: huh?
Band: *disappears in a cloud of rainbow smoke*";;
;I cant even get our office printer to work just to print one page when I absolutely need it;;
;___ __ __ _____  ___ ______;;
;_______ _______ ___?;;
;Band paling niat yang ada didunia;;
;I was hoping Obsession would get a video but I wasn't expecting this. Then again I don't know if I should have any expectations for an OK Go video.;;
;__________!;;
;YESSSS MY BOYS IS BACK WITH AWESOMENESS;;
;Videos by OkGo - this is my obsession;;
;OK pokemon shock!;;
;_____;;
;good video;;
;Every time I have such high expectations for their videos, always met.;;
;holy shit.... this is so mind blowing!!!!;;
;RIDÍCULAS;;
;__ __ ____ ____ __ : __ _____ __ __ __;;
;I have only 4 words: THIS IS DAMN AWESOME;;
;The sound of papers hitting the floor at the end OMG!!;;
;Aaaaaand they did it again :);;
;..._;;
;You know what would be interesting, if a lot of that paper was actually green and they used green screen technology;;
;I was concerning that some staff's Thanks Giving holiday was sacrificed to fix the problem. Now I'm relieved to hear all are with their family_;;
;vidali i polushe;;
;Ridiculos... de Daniela;;
;I just wish one of my printers would work;;
;great!!!;;
;So, I guess the real question is... what color were the Korg Monologues front plates ?;;
;This is pathetic.  Ya you recycled the paper but the fact is so much energy is wasted in everything there for nothing. a moment and that is all.;;
;Well, what else could it have been used for? The human race needs art, and music, and entertainment. I'd say this is as good a use of the paper as anything. And they didn't just leave it there, they made an effort to recycle and make it so the energy wouldn't be wasted as much.;;
;Wowwee;;
;Freaking Awesome... I have always loved your creativity... hats off;;
;Is so awesome!!!!!!;;
;"Wow.
You guys continue to absolutely blow me away. Your ingenious and inventive videos are mindbogglingly creative and amazing. Please, keep doing this wonderful work and entertaining us with your music and videos.";;
;_____________________;;
;“Obsession for smoothness” sounds like a beer tag line;;
;https://www.youtube.com/watch?v=dY4fAtKtaZY;;
;_______;;
;1 band, 567 printers, a lot of paper... and probably quite a few accidental papercuts.;;
;I’ve been waiting for OK Go’s music and music videos. :);;
;Yep it's obsession... I'm obsessed with this mv;;
;FKIN GUD;;
;It’s obsession to watch you guys over again and again. Thank you for always creating reality with reality and bringing true “outside of the box mind”....;;
;You guys are awesome ___!!!;;
;I you can play it at 4K in .75 speed! My god.;;
;I can't even get my printer to work;;
;Ridiculous as usual.;;
;I just love you guys so much _ you guys are so genius! _;;
;i wish you saved some of those sheets i'd totally buy one;;
;I HAVE BEEEN WAITING FOR THISSSS;;
;Sick;;
;Printers and stop-motion are not new technologies, but it's funny that this analog x analog combination gives very new experience, while combining live-action and digital display or projection has been common these days.;;
;"l love this video!!!
so amazing";;
;Creative and original plus your music is good! Love you guys! Since I showed some of your videos to my eldest daughter , she has shown it to her arts teacher in high school, which in turn has given the class a project in media arts inspired by what you do! Great job!;;
;"Catastrophic waste of paper
Edit: Cool video tho";;
;Nark 118 You really think this is really paper?;;
;Greenpeace is a recognized terrorist organization.;;
;I’ll recycle if U pay me 100$;;
;you are crazy guys! amazing!;;
;WHAAAT HOW DO THEY DO THAT;;
;HOW DO YOU EVEN THINK OF THESE THINGS!!! IT'S AMAZING!!!;;
;"Seems like you guys have also been hanging around. ;) Sorry, bad pun.";;
;____ ____ ________ ____________ _______ _____: ___ ______ _____ ________... ___ _ ____ ________....;;
;________ _____!;;
;This gives me Tally Hall vibes-;;
;Alright fine, I'll buy your paper;;
;"Alright fine, I'll think of an original comment
Lol JK you just made me rewatch the one moment";;
;Out of curiosity, what is Damian signing there at around 1:40?;;
;children in africa could've eat these ink cartridges;;
;My favorite printers are the rebels that did it their own way instead of conforming to society's standards -- I ... I mean following the program.;;
;pray for tree;;
;Ok Go made amazing and wonderful video, as they always do.  Lav u boiz;;
;Incredible idea and teamwork!;;
;Man who had programmed this — genius;;
;"These guys just never cease to amaze me with their videos. Each time I wonder how they’ll out-do themselves, and each time I see that each is not really better than the next, but each video expresses their vision in a unique and interesting way. I do have my favorites, but I respect the hard work and creative abilities that go into each and every video; even their old ones.";;
;"At 1:42 he's using ASL to say ""it's obsession"" and I think that's so amazingly cool";;
;No, that's not what I meant. I mean that small detail is a really cool touch added to the video.;;
;yaaaas;;
;Justin Devessia me me big boy;;
;"___OKGO
_____…_";;
;https://m.youtube.com/watch?v=A6PzYN94DOo;;
;"""Choreography: MIKIKO & Elevenplay""?! Duuuuude, I remember them doing a project with Sheena Ringo for one (cinematic) music video of hers!";;
;I especially love that they incoperated sign language into this. It may have been just a quick moment, but it was really cool to see them put it in there.;;
;You know what, fuck you. This is way too good and somehow you get paid for printing paper as a video.;;
;________;;
;"Wow! Just amazing how you guys always come up withe new and crazy ideas to make something diffrent and creative! Been a fan since years and will always be! Keep ‘em coming;)";;
;Like the early sound... good work gentlemen;;
;OK Go Wins;;
;the kids in Africa could of eaten that...;;
;Guys you're just mind-blowing! Like, everytime I think there is nothing else OkGo can play with, you find more and more things! OMG this printers idea makes me collecting my jaw from the floor!!! My respect!;;
;amazing video you guys make the best songs/videos;;
;There music videos are the best commercials;;
;___ ______ _____ ______) ________);;
;You are visual Gods of the 21st century!;;
;This is what, in my opinion, should have hundreds of millions of views and not all of that trashy toxic songs. This is real talent and it has to be recognized.;;
;oh finally! so awesome!;;
;Would've given a thumbs up if the proceeds weren't going to the terrorist organizing Greenpeace.  Find a better environmental organization to donate to;;
;Best birthday gift ever!;;
;Seizure warning;;
;I'm honestly wondering how they programmed all those printers to print out collective images like that.;;
;the ASL, like if you understand.;;
;Yass greenpeace;;
;This vid is awesome even better than that one moment and I loved that one;;
;______ ____ ____________ _________ ______ _ ________ ____! ___ __________!! __ ____________ ______!!!;;
;You guys are indeed obsessed;;
;"so lit omg- ok go's videos are always the most creative
.....and the perfume choreo references!! aaaa love
thank you mikiko, you never fail to amaze me lol";;
;You could say I’m quite obsessed with this video!;;
;the best , thats really cool;;
;Wow! Continuing with great music videos and music! Love ya OK GO!;;
;What printer model was used? Proof that that model will keep on pumping out a good print job.;;
;canon pixma iP7240 mb?;;
;I love this song. please post more. thank you;;
;2:43 good catch;;
;wheres Perfume? lol;;
;OK GO can dedicate to make Youtube ads, maybe it can be the only ads people never skip;;
;https://m.youtube.com/watch?v=A6PzYN94DOo;;
;OMFG New ok go video!!!!!!!;;
;OK Go will forever be the Kings of music videos.;;
;_____________;;
;"Fans: OK GO can't beat thier last video clip
OKGO: You bet?";;
;bravo, thanks for sharing.;;
;YASS;;
;_______;;
;One minute of silence for all the dead trees who appear on this video;;
;what the what;;
;How do you guys do this every time my goodness;;
;this so sick, my mind is blown;;
;This band spends a lot of shit and fucking shitty pop singers with no effort getting trending and fame. Ok;;
;Not a big fan of ok go music but they sure do know how to make a music video;;
;I can barely get my printer to work and they've synchronised hundreds of them;;
;Ok go its mind blowing opticalist band i have ever see in youtube;;
;If that’s inkjet printing, this may be the most expensive video of all time.;;
;It’s sad that this music video came out on the same day as Logan Paul’s music video no handlebars;;
;finally! this is what I subscribed for!;;
;Crazy!;;
;What a waste of paper;;
;I don't even like the song that much. Just come here for the music videos.;;
;QUIT oh my god my brain can’t handle anymore of these videos! They are so creative! Hats off to you guys this is amazing!;;
;https://m.youtube.com/watch?v=A6PzYN94DOo;;
;beautiful and creative as always;;
;These guys and their music videos;;
;How do these guys come up with these video ideas!?  Seriously, they're all brilliant!  I wish I had half this much creativity.;;
;"When you think you have seen everything in this life but a OkGo new video notification pops..
Amazing!!!! 
Have a nice time whoever reading this";;
;Best music videos ever.;;
;COOL!;;
;Anazing;;
;That bit with the sign language was awsome;;
;___ ______ ___________!!!!!!;;
;Human Stop Motion. I can’t wait for behind the scenes;;
;Nice. That won't pay out though unless someone bought all the printers and ink;;
;"OH GOD! I've been waiting for a a whole year for a new Ok Go Music Video and I'm sooo glad it is of my favorite ""Hungry Ghosts"" song!!! _";;
;Bangsaaaaatttttt !!!!!!;;
;AAAAAMAAAAAZZZZZIIIIIIIING;;
;FUCK GREENPEACE.;;
;After each look, seeing the details, I wonder who the fuck are these guys.  Brilliant.;;
;AMAZZING;;
;I both look forward to and dread every new Ok Go music because they always make such great music videos, but it also means I'm gonna spend the rest of my night watching every other music video of theirs.;;
;I couldn't imagine the patience it took to set all this up;;
;sure glad that you guys do this kind of content;;
;Amazing!!!!!!!!!!!!;;
;"I think the""mistakes"" are part of the concept, because you get obsessed with the perfection";;
;2017____+1;;
;Spotify? Hello?;;
;"The One Moment - Nov. 24, 2016
Obession - Nov. 23, 2017
???? - Nov. 22, 2018";;
;https://m.youtube.com/watch?v=A6PzYN94DOo;;
;____ ____ _____ __ 100 000;;
;I just wish you hadn't donated to the one eco-conservation organization that unapologetically destroyed a UNESCO World Heritage Site for some free advertising.;;
;... this is really hard to watch;;
;shit music, interesting videos. To whom you donated the printers or you just threw them in some junkyard?;;
;Very cool.;;
;Trending, comon YT;;
;Their movements are like glitched video game characters.;;
;Thanks guys. Wonderful as always.;;
;What the fuck??? Amazing...;;
;"HOLY HELL IT'S SO COOL
Another amazing music video from the best! I will share this all over!";;
;I've been waiting so long for this song to get a video!;;
;Meanwhile I can't print a damn email without the paper jamming or the ink fading.;;
;Can you stop make great music video, guys? They're incredibly satisfiying.;;
;"Fuck Greenpeace they are sellouts - watch Cowspiracy!
(Sick video tho)";;
;Oh my, a militant extremist douche bag. Fucking idiot.;;
;hmmm I would like to know how much money they go from the recycling and all of that.  Although I can think of several much worthier charities....;;
;Song is meh. But the music video as always is on point.;;
;Jttv Turn up the radio should have been their next music video.;;
;You guys never cease to amaze me, thanks guys, keep it up, proud of you.;;
;Slip at 1:17. Good recovery.;;
;Earliest I've ever been to an OK GO video;;
;This is amazing but WHY DOES IT MAKE ME FURIOUS?;;
;Michelle Payne because you’ll never do anything as awesome and creative?;;
;And yet again, Ok Go produces inventive music videos that no other band can rival. Kudos;;
;"1 like =1 day good luck 
Scroll =bad luck for ten years 
Go to search bar put mukycruz and subscribe = good luck for the rest of your life";;
;The random pieces of paper getting stuck seem to make it that much better;;
;u guys r so creative! keep these sick music videos coming;;
;I feel like that disclaimer at the beginning was for all the people who complained about the toast video lol;;
;These dudes and their endless wallets...;;
;_;;
;You know its Ok GO when you also wait for the BTS / The Making;;
;so they think of a video then made the song? stop the awful songs;;
;I can't even get my one printer to work..;;
;"Okay, so this caliber of video is an ad..... for simple papers........
Okay, looking forward to my next Eyegasm.";;
;This simply cannot be real, i am 27 years old and have never got  to make a printer works properly in my whole life;;
;KPOP?;;
;"If anyone is a little more curious about why this is impacted by YouTube video compression, Tom Scott did a good video on this 
https://www.youtube.com/watch?v=r6Rp-uo6HmI";;
;A R T;;
;You guys make the coolest music videos;;
;I can't find PERFUME.;;
;"AND THE MUSIC. ITS ALWAYS SO GOOD. UGH.  
I LOV OK GO<33";;
;"EVERY MUSIC VIDEO BLOWS MY MIND EVEN MORE THAN THE LAST BRUH 
W.  H. A T.";;
;Thank you Ok Go for sticking with practical effects and consistently capturing our imaginations.;;
;___ ______ ___________);;
;Wow!  Just WOW!;;
;The most mind blowing video yet;;
;__________ _____ _________!);;
;Ok. Ok Go.  Ok Go-ster.  Making copies....;;
;WORTH THE WAIT!!! Amazing video as always!! Happy Thanksgiving!;;
;Honestly, I wait for your videos. You guys are so cool and creative. I teach English in South Korea and love to show the kids your videos to inspire their creativity.;;
;Congratulations! Incredible!;;
;"How many trees were used for the production of all that paper?
I'm not complaining, I'm just curious.";;
;Oh. My. God.;;
;Hell yeah;;
;Los amo;;
;OK Go really deserves more recognition.;;
;They could explain the reason for the delay by singing, it's compression!;;
;Ready for behind the scenes now;;
;Incredible!;;
;always amazing videos;;
;Once more, outstanding!;;
;Mikiko!;;
;inb4 20M views;;
;Ok, Go To the trendings;;
;wow a whole $1.37 donated to greenpeace wow amazing guys;;
;2:40 i love it when he cant grab 2nd Paper and just fucked it on 3rd paper;;
;This reminds me of some of mysteryguitarman kind of style awesome job.;;
;Sepanjang nonton, gak berhenti nganga mulut ku! Keren! Great video!! __ Love this video so much!!! OK GO, all of u guys must go to Indonesia. I'll happy to see u guys!!;;
;You always think their last music video is the most creative and then they come out with something else that blows your mind;;
;K;;
;Nice seizures warning in the fine print guys.  Have a terrific Thanksgiving, excellent video - rOck On!;;
;OUTSTANDING! As always. Amazing creativity, pushing the envelope with everything they do. Love sharing the links to their videos. (And great in concert too! );;
;"The choreographer of this, MIKIKO, also does chroeography for BABYMETAL and Perfume. 
And the Technical Team, Daito Manabe and Rhizomatiks, has also worked a lot with Perfume.";;
;What the hell.... HOW?;;
;"https://youtu.be/kSynQ_xY_GY
My testimony
GOD Said
IF YOU LOVE ME KEEP MY COMMANDMENTS
JOHN 14:15
^ new testament verse, for the stubborn
GOD Said
HE THAT SAITH I KNOW HIM AND KEEPETH NOT HIS COMMANDMENTS IS A LIAR AND TRUTH IS NOT IN HIM.
^new testament verse, for the stubborn 
GOD SAID 
BLESSED ARE THEY THAT DO HIS COMMANDMENTS, THAT THEY MAY HAVE RIGHT TO THE TREE OF LIFE, AND MAY ENTER IN THROUGH THE GATES INTO THE CITY
REVELATION 22:14
^ new testament verse for the stubborn 
SO WHENEVER SOMEONE COMES AND TELLS ME ,
YOU DONT HAVE TO FOLLOW COMMANDMENTS EVEN THOUGH I TOLD YOU HE CAME AND TOLD ME WE DO!!! TO MAKE THE RAPTURE 
ALL I HEAR IS THIS PERSON IS A LIAR , THIS PERSON DOES NOT KNOW THE LORD, THIS PERSON DOES NOT LOVE GOD .THE TRUTH IN NOT IN THIS PERSON !!!
THIS PERSON IS NOT GOING TO MAKE IT THROUGH HIS GATES!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
To be ready for God's arrival. Don't forget to sing in your head or aloud ""holy water in God's hands"" song angel showed me, cup hands in water   so that it baptises you in the holy spirit. Holy is longated 3 counts. Shows physical and spiritual commitment to God reborn to walk in his way of obedience to his Law, commandments and daily repentance! children also _John 3:1-21
He that saith, I know him, and keepeth not his commandments, is a liar, and the truth is not in him.
1John 2:4
reference Matthew 24
reference revelations
reference 2017 rapture Dreams YouTube";;
;Laura Vega okay;;
;nothing short of spectacular and brilliant! Thank you Damian et al for always pushing yourselves to create vivid world for our eyes and ears <3;;
;The BEST videoclips;;
;Omg yes! This is my favorite of your songs I’m so glad you made a video for it;;
;i dont think andy has ever looked like he's having a good time in any videos;;
;"Nooooo~~~~~~~
Tree~~~~~!!!!!!!";;
;frickin!!! great!!!;;
;Oh... so it’s a marketing ploy, not a genuine artistic take on the music... got it....;;
;The funding has to come from somewhere, this stuff is expensive as hell.;;
;Great video and imagination! BTW, I have a seizure disorder and was not affected by the video. Keep imagining!;;
;_____. _____ ____ __ ______ ______ ___ _ _______ __ _____-______ _____ ________________.;;
;I don't really like the song but HOLY SHIT that's a lot of paper. I'm not surprised if you used more than 1 million paper.;;
;______, _ ___ _____ ___________ _____!;;
;Looks like they took the time and coordination we usually see from these guys, but this does not resonate with me.  Seems disjointed, and juvenile compared to other masterpieces they have made.  Also Damian's voice has never been strong (seen him in live shows etc) here it also seems flat which is not a good look.  Disappointing, but maybe I am missing what they are going for.... maybe its all 4D chess or something......;;
;Are you fucking kidding me;;
;OMG! YESSSS!;;
;I'm guessing all these likes are for the video itself? since the music is just pure trash.;;
;There are plenty of people who actually like it, music is subjective.;;
;"https://youtu.be/kSynQ_xY_GY
My testimony
GOD Said
IF YOU LOVE ME KEEP MY COMMANDMENTS
JOHN 14:15
^ new testament verse, for the stubborn
GOD Said
HE THAT SAITH I KNOW HIM AND KEEPETH NOT HIS COMMANDMENTS IS A LIAR AND TRUTH IS NOT IN HIM.
^new testament verse, for the stubborn 
GOD SAID 
BLESSED ARE THEY THAT DO HIS COMMANDMENTS, THAT THEY MAY HAVE RIGHT TO THE TREE OF LIFE, AND MAY ENTER IN THROUGH THE GATES INTO THE CITY
REVELATION 22:14
^ new testament verse for the stubborn 
SO WHENEVER SOMEONE COMES AND TELLS ME ,
YOU DONT HAVE TO FOLLOW COMMANDMENTS EVEN THOUGH I TOLD YOU HE CAME AND TOLD ME WE DO!!! TO MAKE THE RAPTURE 
ALL I HEAR IS THIS PERSON IS A LIAR , THIS PERSON DOES NOT KNOW THE LORD, THIS PERSON DOES NOT LOVE GOD .THE TRUTH IN NOT IN THIS PERSON !!!
THIS PERSON IS NOT GOING TO MAKE IT THROUGH HIS GATES!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
To be ready for God's arrival. Don't forget to sing in your head or aloud ""holy water in God's hands"" song angel showed me, cup hands in water   so that it baptises you in the holy spirit. Holy is longated 3 counts. Shows physical and spiritual commitment to God reborn to walk in his way of obedience to his Law, commandments and daily repentance! children also _John 3:1-21
He that saith, I know him, and keepeth not his commandments, is a liar, and the truth is not in him.
1John 2:4
reference Matthew 24
reference revelations
reference 2017 rapture Dreams YouTube";;
;I thought HP or EPSON should be the sponsor.;;
;These guys's videos make me forget the worlds problems. Speaking of which, net neutrality is in a good condition, right?;;
;This is really stupid.;;
;Insanely creative as usual;;
;WHAF THE FLYING FUUUUCK;;
;holy shit! you guys are crazy! a lot of work there..you guys are underrated;;
;My God, they've done it again.;;
;This is amazing;;
;Probably one of their best works yet!;;
;https://m.youtube.com/watch?v=A6PzYN94DOo;;
;Their videos are so addictive;;
;https://m.youtube.com/watch?v=A6PzYN94DOo;;
;Now ctrl+p to print this entire video.;;
;perfection, per usual.;;
;watch this in 144 p for real fun;;
;Can't wait to see some behind the scenes for this one!;;
;These guys have an obsession.;;
;<<<We think you are awesome! Happy Thanksgiving to you and yours x) _inviting you to discover our channel too;;
;Fuaaa buenisimo!!;;
;Kind of has a Talking Heads vibe to me.;;
;"Song stands on it's own.  They just added another brilliant video.   I'd love to hear the band's comments/responses to my questions:
1) Were you shooting for the dichotomy of the dark undertones of the idea of obsession with the colorful papers?
2) What was your decision process in just showing the wires?";;
;just amazing;;
;Impeccable;;
;why would you release this on thanksgiving dumb fukc;;
;What does it being released on thanksgiving have to do with anything?;;
;"They must have spend billions on ink cartridges :-)
I hope they did *recycle that paper* properly ! Awesome video, and worth it, as long as the paper was recycled !";;
;Only the dumb people who believes those are real printers and papers :) its all computer animated to make it look like it :) :) y'all dumb forreeeellll.;;
;What the hell i just watched?! Its so damn GOOD;;
;New OKGO video awesome;;
;Brand of printer?;;
;pixma iP7240 mb?;;
;Neat;;
;This new Peter Gabriel video is pretty good!;;
;Mission India Fit Poo IN The Loo;;
;The idea of this video is very unique. And big amount of waste of paper. Hope they were recycled :-);;
;you all are legend _;;
;With the cost of ink, this was the most expensive video ever made.;;
;Yes fine;;
;that's dope;;
;A new one! AAAAAAAAAAAAAAA!;;
;Ahhh, this is so cool, as usual! And just such a great song!!!;;
;This is giving me Wang Chung vibes.;;
;Today, November 23rd, 2017 is my birthday. Thanks for making this day the best birthday ever!!!;;
;kids in africa could have eaten that paper;;
;I'm obsessed with this video _;;
;I feel like this a cool video idea that Michael Scott would steal to try and sell paper for Dunder Mifflin.;;
;https://www.youtube.com/watch?v=dY4fAtKtaZY;;
;It's been 2 years now that I just can't find a way to connect my notebook to the office printer and then I see THIS FUCKING VIDEO. FML. Ok Go blowing everyone's minds again, by the way.;;
;Here before 1 million!!!;;
;That's gonna leave a nasty paper cut.;;
;What the actual f... Just when u thing OK Go did it all. You guys never failed to surprised us with the crazy ideas!;;
;I used to always hear a new song whenever a new OK GO video came out, but these days I'm able to sing along as soon as the video is out.;;
;OkGo, one of the only bands to have to preface every video with “This is real. It happened. We didn’t fake this.” And it never fails to amaze.;;
;holy shit;;
;"They've been watching their old ""Everybody Wang Chung"" videos.";;
;oh the kings of music videos are back;;
;Yaaay stop motion is back I love it just like end love;;
;Clean up on aisle 5!;;
;will this be on Spotify????;;
;It is. This is a band after all.;;
;Incredibly impressive and gorgeous. You’ve done it again Ok Go! Keep it up!;;
;so good.;;
;It's Obsession of Papers;;
;papers please;;
;Tes;;
;https://m.youtube.com/watch?v=A6PzYN94DOo;;
;This totally makes my day. AGAIN. Best music vids, period;;
;I love this video!!;;
;I'M DYING. THIS IS WAY TOO COOL. SEND HELP;;
;"I was feeling a bit down and this music-video really made me smile :D
Simply awesome.";;
;Inb4 Satanism;;
;Eh. Annoying that it's an ad. I get that these videos take a lot of money but the concept is honestly nowhere near as cool as your other videos and don't include any new tricks. Just seems like an ad from beginning to finish. A bit disappointed and I've been a fan of your videos since the beginning. This is the first one I haven't liked and I'm sad.;;
;___;;
;loved the ASL part <3;;
;If those guys aren't the most creative on youtube then idk Who is;;
;And just when you think they’ve done it all…;;
;Watching this video is... OBSESSION! Haha;;
;TRICKED IN TO WATCHING AN AD FOR PRINTER PAPER GODDAMN IT YOU SNEAKY FUCKS;;
;Yes!;;
;I actually like that they waste ink it shows that they care about their ART guys.  Come on;;
;Wow. Just when I thought they couldn't do any better.;;
;awesome video, garbage music as usual;;
;Ok Go has the best videos hands down. Im always amazed everytime;;
;"Children in Africa could have eaten that ink you pigs
Jk y'all are the kings of music videos _";;
;Gotta love youtube compression;;
;Am I the only one that thought of Portlandia when the mayor throws his printer into the river?;;
;"F...k Eco ;(";;
;If this band's music was as good as their videos, they'd be huge.;;
;Most papercut victims in one place.;;
;EVERTHING was INKchronize__;;
;holy shit;;
;Man, you never cease to amaze me!! I love everything you do _;;
;"love the stuck ""pixels"" :D";;
;Great song, also kinda hypnotic @.@;;
;I just binge watched all your videos last night with my boyfriend going on and on about how you are the coolest band and then you release this :o!! I am in awe! :);;
;This is the first music vid I ever saw of Ok Go when they released it! :D;;
;god. i loved it.  the sound of all the paper falling out of the printers was so satisfying and i'm so glad it was all recycled after. ok go never disappoints in creativity;;
;Kids in Africa could have eaten that paper.;;
;1:38 Freeze frame.......   :o;;
;Genius... as always!;;
;_____________ ___________, ___ __ _______ ____ _______ ____ ______ ______ _____ _ ____. ______ ___ _________ ______.;;
;"Im like ""this is just waste"" and ""its an amazing idea wow"" at the same time...";;
;Could have just used CGI.. but they had to turn this into an advertisement for printer paper lol;;
;CGI would be boring and potentially more costly. They need funding, so they go to advertisers, if a video is sponsored it doesn't automatically mean that the video is an ad.;;
;This is *amazing* as expected. But I feel that it didn't end up as incredibly perfect as The One Moment, or Upside Down & Inside Out. Also, the choreography is, imho, one of the least inventive of OK Go so far. Could it be Trish Sie missing (guessing here)? If it were not about obsession, maybe my OCD wouldn't be triggered and, even though I would notice the same, I wouldn't feel compelled to write this. Now I will anxiously wait for the making of video. _;;
;__ ___ ___ _______......___________)))));;
;Onikorp _______;;
;Well, that was awesome! _;;
;Can't wait to see behind the scene video;;
;I wish I could afford that much printer ink;;
;You can do no wrong.;;
;I miss video like this man;;
;Thank you for adding the seizure warning.;;
;MY GOD CAN YOU GET ANY BETTER?!?!?!!! LOVE YOU GUYS!!!;;
;And I can't even make my printer connect to my pc.;;
;Yes;;
;See you at 20 Million views !!;;
;https://m.youtube.com/watch?v=A6PzYN94DOo;;
;They never disappoint;;
;You guys are the BEST and Always a thrill to watch! Where is the LOVE button?;;
;The most amazing paper advertisement I've ever seen;;
;Best ad for paper ever :p;;
;You've officially crossed over to a realm where my eyes can barely believe what they're seeing;;
;Well... I found a new obsession :D;;
